20200201	218
20200202	0
20200203	122
20200204	281
20200205	1373
20200206	251
20200207	156
20200208	133
20200209	126
20200210	138
20200211	154
20200212	159
20200213	150
20200214	152
20200215	150
20200216	145
20200217	154
20200218	82
20200219	181
20200220	729
20200221	3043
20200222	3724
20200223	3653
20200224	3724
20200225	3822
20200226	4570
20200227	5671
20200228	3770
20200229	1758
20200301	43
20200302	230
20200303	222
20200304	218
20200305	112
20200306	145
20200307	52
20200308	42
20200309	144
20200310	154
20200311	144
20200312	285
20200313	135
20200314	961
20200315	956
20200316	938
20200317	994
20200318	1008
20200319	127
20200320	125
20200321	113
20200322	112
20200323	118
20200324	1134
20200325	2717
20200326	4665
20200327	9121
20200328	10712
20200329	10341
20200330	10284
20200331	9728
20200401	6889
20200402	5748
20200403	6016
20200404	3955
20200405	3736
20200406	3963
20200407	4261
20200408	5440
20200409	5159
20200410	5649
20200411	5835
20200412	5828
20200413	5840
20200414	5786
20200415	4698
20200416	4744
20200417	4865
20200418	4847
20200419	4906
20200420	4878
20200421	4721
20200422	4387
20200423	4057
20200424	4047
20200425	4074
20200426	4048
20200427	4156
20200428	4146
20200429	3894
20200430	3547
20200501	3643
20200502	2333
20200503  26
20200504	30
20200505	36
20200506	35
20200507	36
20200508	35
20200509	35
20200510	32
20200511	34
20200512	31
20200513	35
20200514	206
20200515	235
20200516	93
20200517	94
20200518	225
20200519	231
20200520	225
20200521	225
20200522	33
20200523	28
20200524	28
20200525	29
20200526	34
20200527	27
20200528	30
20200529	34
20200530	44
20200531	46
20200601	61
20200602	53
20200603	46
20200604	20
20200605	19
20200606	102
20200607	65
20200608	186
20200609	153
20200610	134
20200611	174
20200612	128
20200613	57
20200614	10
20200615	11
20200616	16
20200617	28
20200618	42
20200619	6
20200620	7
20200621	7
20200622	19
20200623	69
20200624	386
20200625	424
20200626	441
20200627	505
20200628	89
20200629	123
20200630	186
20200701	20
20200702	15
20200703	9
20200704	10
20200705	9
20200706	10
20200707	13
20200708	13
20200709	12
20200710	18
20200711	6
20200712	7
20200713	11
20200714	10
20200715	25
20200716	9
20200717	7
20200718	0
20200719	0
20200720	1
20200721	0
20200722	0
20200723	2
20200724	0
20200725	6
20200726	0
20200727	0
20200728	0
20200729	7
20200730	0
20200731	1
20200801	6
20200802	0
20200803	39
20200804	20
20200805	32
20200806	120
20200807	55
20200808	34
20200809	34
20200810	19
20200811	70
20200812	108
20200813	105
20200814	70
20200815	28
20200816	28
20200817	29
20200818	93
20200819	125
20200820	328
20200821	444
20200822	306
20200823	2
20200824	8
20200825	8
20200826	7
20200827	2
20200828	0
20200829	0
20200830	0
20200831	1
20200901	0
20200902	4
20200903	0
20200904	0
20200905	2
20200906	0
20200907	0
20200908	0
20200909	0
20200910	12
20200911	96
20200912	90
20200913	142
20200914	134
20200915	177
20200916	370
20200917	593
20200918	154
20200919	172
20200920	210
20200921	324
20200922	35
20200923	14
20200924	30
20200925	58
20200926	10
20200927	10
20200928	70
20200929	39
20200930	42
20201001	46
20201002	10
20201003	10
20201004	1
20201005	0
20201006	0
20201007	531
20201008	2494
20201009	49
20201010	45
20201011	47
20201012	2
20201013	7
20201014	48
20201015	48
20201016	32
20201017	17
20201018	0
20201019	0
20201020	0
20201021	0
20201022	0
20201023	0
20201024	0
20201025	0
20201026	12
20201027	75
20201028	242
20201029	254
20201030	218
20201031	176
20201101	120
20201102	30
20201103	2
20201104	0
20201105	0
20201106	0
20201107	0
20201108	0
20201109	0
20201110	1
20201111	0
20201112	0
20201113	0
20201114	0
20201115	0
20201116	0
20201117	0
20201118	0
20201119	0
20201120	10
20201121	24
20201122	24
20201123	24
20201124	24
20201125	24
20201126	24
20201127	24
20201128	18
20201129	0
20201130	0
20201201	8
20201202	244
20201203	669
20201204	808
20201205	726
20201206	724
20201207	722
20201208	758
20201209	737
20201210	72
20201211	56
20201212	497
20201213	474
20201214	478
20201215	360
20201216	349
20201217	334
20201218	312
20201219	0
20201220	0
20201221	0
20201222	0
20201223	0
20201224	0
20201225	0
20201226	0
20201227	0
20201228	0
20201229	0
20201230	0
20201231	0
20210101	0
20210102	0
20210103	0
20210104	0
20210105	0
20210106	0
20210107	0
20210108	0
20210109	0
20210110	0
20210111	0
20210112	0
20210113	0
20210114	0
20210115	0
20210116	0
20210117	0
20210118	0
20210119	0
20210120	0
20210121	0
20210122	0
20210123	0
20210124	0
20210125	0
20210126	0
20210127	0
20210128	0
20210129	0
20210130	0
20210131	0
20210201	1849
20210202	0
20210203	4
20210204	0
20210205	0
20210206	0
20210207	0
20210208	0
20210209	0
20210210	0
20210211	0
20210212	0
20210213	0
20210214	0
20210215	0
20210216	0
20210217	1
20210218	0
20210219	0
20210220	2
20210221	0
20210222	0
20210223	0
20210224	0
20210225	0
20210226	1
20210227	0
20210228	0
20210301	2
20210302	0
20210303	0
20210304	0
20210305	0
20210306	1993004
20210307	2302678
20210308	2134034
20210309	1162532
20210310	865143
20210311	0
20210312	0
20210313	0
